Brand,Item_ID
mcdonalds,513fc9e73fe3ffd40300108e
mcdonalds,bd9d961591dae752eda4df97
mcdonalds,bd9d9615eea7a883e057ac4f
mcdonalds,d3ea1640104047b85ca8aa3d
mcdonalds,d3ea164066068a15a6dd944a
mcdonalds,c640834961f658b5d923a5eb
mcdonalds,23cb594989518baa90a3314e
mcdonalds,513fc9e73fe3ffd403001098
mcdonalds,513fc9e73fe3ffd403001099
mcdonalds,513fc9e73fe3ffd40300109a
mcdonalds,513fc9e73fe3ffd40300109c
mcdonalds,513fc9e73fe3ffd40300109e
mcdonalds,513fc9e73fe3ffd40300109f
mcdonalds,d3ea16409b0bf6ba19299364
mcdonalds,d3ea164017b0d0ccfa0614eb
mcdonalds,c6408349064c931cca2ce8ab
mcdonalds,d3ea16405d5824a1971b0d46
mcdonalds,d3ea1640acabfd4a13df38cc
mcdonalds,c6408349dffad287015f6328
mcdonalds,d3ea164024959600f01b1ed3
mcdonalds,d3ea1640f07b08ab979aefe6
mcdonalds,d3ea1640140f906008eebea8
mcdonalds,d3ea1640554e5b2501ee0c44
mcdonalds,d3ea164003c679b8b795f016
mcdonalds,513fc9e73fe3ffd4030010a3
mcdonalds,d3ea1640761e9de57ecf5531
mcdonalds,d3ea1640132cfdc4efedeaef
mcdonalds,c640834966ec78b5fe803297
mcdonalds,513fc9e73fe3ffd4030010a7
mcdonalds,513fc9e73fe3ffd4030010a8
mcdonalds,513fc9e73fe3ffd4030010a9
mcdonalds,ddee525645450459acf85b56
mcdonalds,ae495051f4042f9fabd0857a
mcdonalds,513fc9e73fe3ffd4030010ab
mcdonalds,513fc9e73fe3ffd4030010b1
mcdonalds,513fc9e73fe3ffd4030010b4
mcdonalds,513fc9e73fe3ffd4030010b3
mcdonalds,513fc9e73fe3ffd4030010b2
mcdonalds,513fc9e73fe3ffd4030010b6
mcdonalds,69240416cbc5de1fef6defb3
mcdonalds,513fc9e73fe3ffd4030010b8
mcdonalds,513fc9e73fe3ffd4030010b9
mcdonalds,513fc9e73fe3ffd4030010bb
mcdonalds,bd9d241409ae4be400ab4d40
mcdonalds,d3ea1640c899a0a71e260740
mcdonalds,6924041649d414a9a2da98b6
mcdonalds,513fc9e73fe3ffd4030010be
mcdonalds,513fc9e73fe3ffd4030010bf
mcdonalds,513fc9e73fe3ffd4030010c0
mcdonalds,513fc9e73fe3ffd4030010c5
mcdonalds,513fc9e73fe3ffd4030010c6
mcdonalds,ddee52567a73896dd6119c4f
mcdonalds,513fc9e73fe3ffd4030010c8
mcdonalds,513fc9e73fe3ffd4030010c9
mcdonalds,513fc9e73fe3ffd4030010ca
